RowNumber,CustomerId,CreditScore,GeographyID,GenderID,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,"Bank DOJ"
136,15584518,589,3,2,50,5,144895.05,2,1,1,34941.23,0,23-09-2017
137,15802381,461,3,2,34,5,63663.93,1,0,1,167784.28,0,05-12-2017
138,15610156,637,1,1,40,4,133463.1,1,0,1,93165.34,0,21-12-2018
139,15594408,584,2,2,48,4,213146.2,1,1,0,75161.25,1,06-02-2019
140,15640905,579,2,2,35,7,129490.36,2,0,1,8590.83,1,06-06-2016
141,15698932,756,3,1,44,6,137452.09,1,1,0,189543.9,0,18-10-2016
142,15724944,663,1,1,34,4,0,2,1,1,180427.24,0,28-12-2018
143,15628145,682,1,2,43,6,125851.93,1,1,1,193318.33,0,07-11-2016
144,15713483,793,2,1,52,5,0,1,1,0,159123.82,1,28-05-2018
145,15612350,691,1,2,31,3,40915.55,1,1,0,126213.84,1,02-12-2019
146,15800703,485,2,2,21,5,113157.22,1,1,1,54141.5,0,03-06-2018
147,15705707,635,2,2,29,4,138296.94,2,1,0,141075.51,0,09-12-2018
148,15754105,650,1,1,37,4,106967.18,1,0,0,24495.03,0,13-09-2019
149,15703264,735,1,1,44,6,120681.63,1,1,0,74836.34,0,15-07-2017
150,15794413,416,1,1,32,4,0,2,0,1,878.87,0,07-09-2019
151,15650237,754,2,2,32,4,0,2,1,0,89520.75,0,21-10-2018
152,15759618,535,1,2,48,4,0,1,1,0,149892.79,1,03-06-2019
153,15811589,716,2,1,42,4,0,2,1,0,180800.42,0,18-01-2019
154,15689044,539,1,1,37,6,127609.59,1,1,0,98646.22,0,06-02-2017
155,15709368,614,1,2,43,3,0,2,1,1,109041.53,0,16-11-2019
156,15679145,706,2,1,57,5,0,1,1,0,17941.16,1,05-12-2017
157,15655007,758,1,2,33,3,0,2,0,0,82996.47,0,13-12-2019
158,15623595,586,2,2,28,4,0,2,1,1,92067.35,0,18-07-2019
159,15589975,646,1,2,73,6,97259.25,1,0,1,104719.66,0,22-08-2017
160,15804017,631,3,2,33,3,123246.7,1,0,0,112687.57,0,01-12-2019
161,15692132,717,2,2,22,3,101060.25,1,0,1,84699.56,0,21-10-2019
162,15641122,684,1,1,30,5,0,2,1,0,83473.82,0,02-10-2017
163,15630910,800,1,2,49,7,108007.36,1,0,0,47125.11,0,24-03-2016
164,15680772,721,2,2,36,6,0,2,1,1,106977.8,0,21-12-2016
165,15658929,683,2,1,29,4,133702.89,1,1,0,55582.54,1,27-03-2019
166,15585388,660,3,1,31,6,125189.75,2,1,1,139874.43,0,03-10-2016
167,15724623,704,3,2,24,5,113034.22,1,1,0,162503.48,1,15-10-2017
168,15588537,615,2,2,41,4,109013.23,1,1,0,196499.96,0,18-08-2019
169,15574692,667,2,2,39,5,0,2,1,0,40721.24,1,18-12-2017
170,15611325,682,3,1,24,6,57929.81,2,0,0,53134.3,0,23-09-2016
171,15587562,484,1,2,29,7,130114.39,1,1,0,164017.89,0,10-05-2016
172,15613172,628,3,1,27,5,95826.49,2,1,0,155996.96,0,09-12-2017
173,15651022,480,3,1,44,7,129608.57,1,1,0,5472.7,1,07-09-2016
174,15586310,578,1,1,30,4,169462.09,1,1,0,112187.11,0,24-12-2018
175,15625524,512,1,1,40,3,0,2,1,1,146457.83,0,06-10-2019
176,15755209,484,2,2,35,3,133868.21,1,1,1,27286.1,0,07-12-2019
177,15645248,510,1,2,30,4,0,2,1,1,130553.47,0,12-08-2019
178,15790355,606,3,1,36,4,190479.48,2,0,0,179351.89,0,30-12-2018
179,15762615,597,2,2,40,7,101993.12,1,0,1,94774.12,0,12-09-2016
180,15625426,754,3,2,55,6,161608.81,1,1,0,8080.85,1,01-01-2017
181,15716334,850,2,2,45,5,122311.21,1,1,1,19482.5,0,11-12-2017
182,15789669,510,1,1,65,7,0,2,1,1,48071.61,0,14-06-2016
183,15621075,778,3,2,45,3,162150.42,2,1,0,174531.27,0,03-10-2019
184,15810845,636,1,1,42,3,0,2,1,1,55470.78,0,24-12-2019
185,15719377,804,1,2,50,3,0,1,1,1,8546.87,1,05-11-2019
186,15654506,514,1,1,32,5,0,2,1,0,95857.18,0,26-09-2017
187,15771977,730,1,2,39,6,99010.67,1,1,0,194945.8,0,07-01-2017
188,15708710,525,2,2,37,4,0,1,0,1,131521.72,0,03-07-2019
189,15726676,616,2,1,30,5,0,2,0,1,196108.51,0,06-05-2018
190,15587421,687,3,2,34,4,111388.18,2,1,0,148564.76,0,30-11-2018
191,15726931,715,1,2,41,7,56214.85,2,0,0,92982.61,1,30-04-2016
192,15771086,512,1,2,36,7,84327.77,2,1,0,17675.36,0,13-06-2016
193,15756850,479,1,1,40,3,0,2,0,0,114996.43,0,05-11-2019
194,15702741,601,1,1,32,3,93012.89,1,1,0,86957.42,0,14-12-2019
195,15679200,580,2,1,29,3,61710.44,2,1,0,128077.8,0,21-12-2019
196,15594815,807,1,1,35,5,174790.15,1,1,1,600.36,0,10-09-2018
197,15635905,616,2,2,32,4,0,2,1,1,43001.46,0,19-12-2018
198,15777892,721,3,1,37,4,107720.64,1,1,1,158591.12,0,06-12-2018
199,15656176,501,1,1,57,4,0,2,1,1,47847.19,0,01-08-2019
200,15811127,521,1,1,35,4,96423.84,1,1,0,10488.44,0,19-10-2018
201,15604482,850,2,1,30,5,141040.01,1,1,1,5978.2,0,24-10-2017
202,15622911,759,1,1,42,4,105420.18,1,0,1,121409.06,0,09-02-2019
203,15600974,516,2,1,50,3,0,1,0,1,146145.93,1,26-10-2019
204,15727868,711,1,2,38,3,129022.06,2,1,1,14374.86,1,12-11-2019
205,15627801,512,2,1,33,6,176666.62,1,1,0,94670.77,0,17-10-2016
206,15773039,550,1,1,37,4,0,1,1,1,179670.31,0,23-05-2019
207,15755262,608,2,2,41,4,89763.84,1,0,0,199304.74,1,25-07-2019
208,15679531,618,1,1,34,5,134954.53,1,1,1,151954.39,0,10-12-2017
209,15684181,643,1,1,45,5,0,1,1,0,142513.5,1,24-12-2017
210,15612087,671,1,1,45,4,106376.85,1,0,1,158264.62,0,18-08-2019
211,15752047,689,3,1,33,5,161814.64,2,1,0,169381.9,0,21-09-2018
212,15624592,603,1,1,31,6,0,2,1,1,169915.02,0,02-11-2016
213,15573152,620,1,2,41,5,0,2,0,0,88852.47,0,29-08-2018
214,15594917,676,1,2,34,4,63095.01,1,1,1,40645.81,0,12-11-2018
215,15785542,572,3,1,26,5,118287.01,2,0,0,60427.3,0,16-09-2018
216,15723488,668,3,1,47,5,106854.21,1,0,1,157959.02,1,07-12-2017
217,15680920,695,1,1,46,5,49512.55,1,1,0,133007.34,0,08-01-2018
218,15786308,730,2,2,33,5,0,2,0,0,176576.62,0,17-08-2018
219,15659366,807,1,1,43,3,105799.32,2,1,0,34888.04,1,25-12-2019
220,15774854,592,1,1,54,7,0,1,1,1,28737.71,1,21-03-2016
221,15725311,726,1,2,31,4,114722.05,2,1,1,98178.57,0,06-09-2019
222,15787155,514,2,1,30,4,0,1,0,1,125010.24,0,14-09-2019
223,15727829,567,1,1,42,3,0,2,1,1,167984.61,0,08-10-2019
224,15733247,850,1,1,33,6,0,1,1,0,4861.72,1,04-01-2017
225,15568748,671,3,1,45,4,99564.22,1,1,1,108872.45,1,29-11-2018
226,15699029,670,1,1,37,5,170557.91,2,1,0,198252.88,0,12-01-2018
227,15774393,694,1,2,30,5,0,2,1,1,26960.31,0,27-01-2018
228,15676895,547,3,2,39,5,74596.15,3,1,1,85746.52,1,23-04-2018
229,15637753,751,3,1,50,6,96888.39,1,1,0,77206.25,1,02-09-2017
230,15605461,594,3,2,29,5,130830.22,1,1,0,61048.53,0,31-12-2017
231,15808473,673,1,1,72,4,0,2,0,1,111981.19,0,16-11-2018
232,15627000,610,1,1,40,4,0,2,1,0,62232.6,0,31-03-2019
233,15787174,512,1,2,37,3,0,2,0,1,156105.03,0,21-11-2019
234,15723886,767,3,1,20,6,119714.25,2,0,1,150135.38,0,10-06-2017
235,15704769,585,1,2,67,6,113978.97,2,0,1,93146.11,0,18-09-2017
236,15772896,763,3,1,42,3,100160.75,1,1,0,33462.94,1,14-10-2019
237,15711540,712,1,2,29,7,0,1,1,1,144375,0,06-06-2016
238,15764866,539,3,2,43,6,116220.5,3,1,0,55803.96,1,29-11-2016
239,15794056,668,1,2,46,4,0,3,1,0,89048.46,1,28-12-2018
240,15795149,703,1,1,28,5,81173.83,2,0,1,162812.16,0,03-07-2018
241,15812009,662,2,1,38,4,0,2,1,0,136259.65,0,10-06-2019
242,15651001,725,3,2,39,4,116803.8,1,1,0,124052.97,0,22-08-2019
243,15813844,703,1,1,37,4,105961.68,2,0,1,74158.8,0,01-09-2019
244,15596175,659,3,1,67,6,117411.6,1,1,1,45071.09,1,26-03-2017
245,15576269,523,2,1,34,7,0,2,1,0,62030.06,0,30-04-2016
246,15797219,635,1,2,40,7,123497.58,1,1,0,131953.23,1,16-09-2016
247,15685500,772,3,1,26,4,152400.51,2,1,0,79414,0,06-09-2019
248,15599792,545,1,2,26,4,0,2,1,1,199638.56,0,16-11-2018
249,15657566,634,3,1,24,4,103097.85,1,1,1,157577.29,0,11-08-2019
250,15772423,739,3,1,54,4,126418.14,1,1,0,134420.75,1,11-09-2019
251,15628112,771,3,2,36,4,77846.9,1,0,0,99805.99,0,11-05-2019
252,15753754,587,2,2,34,5,0,2,1,1,97932.68,0,06-04-2018
253,15793726,681,1,2,79,4,0,2,0,1,170968.99,0,15-08-2019
254,15694717,544,3,1,37,5,79731.91,1,1,1,57558.95,0,05-11-2017
255,15665834,696,2,1,28,6,0,1,0,0,176713.47,0,21-04-2017
256,15765297,766,2,1,41,3,0,2,0,1,34283.23,0,30-11-2019
257,15636684,727,1,1,34,7,0,2,1,1,198637.34,0,11-06-2016
258,15592979,671,3,2,34,4,37266.67,2,0,0,156917.12,0,07-08-2019
259,15750803,693,1,2,30,5,127992.25,1,1,1,50457.2,0,27-07-2018
260,15607178,850,3,1,38,6,54901.01,1,1,1,140075.55,0,20-04-2017
261,15713853,732,3,1,42,5,108748.08,2,1,1,65323.11,0,03-02-2018
262,15673481,726,2,2,48,3,99906.19,1,1,0,64323.24,0,21-10-2019
263,15686776,557,1,2,32,7,184686.41,2,1,0,14956.44,0,15-05-2016
264,15673693,682,1,2,26,4,110654.02,1,0,1,111879.21,0,10-12-2018
265,15700696,738,2,1,31,4,79019.8,1,1,1,18606.23,0,14-12-2018
266,15813163,531,2,2,36,6,99240.51,1,1,0,123137.01,0,02-11-2016
267,15653857,498,1,1,34,4,0,2,1,1,148528.24,0,22-09-2019
268,15777076,651,1,1,36,5,0,2,1,0,13898.31,0,28-09-2017
269,15717398,549,2,2,39,6,0,1,0,0,81259.25,1,04-06-2017
270,15799217,791,3,2,35,6,52436.2,1,1,0,161051.75,0,21-12-2016
271,15787071,650,2,1,41,4,0,2,0,1,191599.67,0,05-11-2018
272,15619955,733,3,1,34,3,100337.96,3,1,0,48559.19,1,12-12-2019
273,15796505,811,3,2,34,5,149297.19,2,1,1,186339.74,0,15-08-2018
274,15725166,707,1,1,30,5,0,2,1,0,33159.37,0,05-11-2017
275,15800116,712,3,1,28,4,145605.44,1,0,1,93883.53,0,14-05-2019
276,15758685,706,2,2,37,6,0,2,1,1,110899.3,0,03-10-2016
277,15694456,756,1,1,62,6,0,1,1,1,11199.04,1,20-10-2016
278,15767339,777,1,2,53,6,0,2,1,0,189992.97,0,03-05-2017
279,15683562,646,1,1,35,5,84026.86,1,0,1,164255.69,0,24-09-2017
280,15782210,714,1,1,46,5,0,1,1,0,152167.79,1,29-07-2018
281,15668893,782,1,1,39,7,0,2,1,1,33949.67,0,05-08-2016
282,15669169,775,2,1,29,5,0,2,1,1,68143.93,0,13-03-2018
283,15643024,479,3,1,35,5,138718.92,1,1,1,47251.79,1,20-05-2018
284,15699389,807,1,1,42,5,118274.71,1,1,1,25885.72,0,08-09-2018
285,15708608,799,1,2,22,3,174185.98,2,0,1,192633.85,0,05-11-2019
286,15626144,675,1,1,40,6,113208.86,2,1,0,34577.36,0,08-01-2017
287,15573112,602,2,1,29,5,103907.28,1,1,0,161229.84,0,16-03-2018
288,15790678,475,1,2,32,5,119023.28,1,1,0,100816.29,0,14-02-2018
289,15727556,744,2,2,26,6,166297.89,1,1,1,181694.44,0,23-09-2016
290,15697307,588,2,1,34,5,0,2,1,0,79078.91,0,04-06-2018
291,15652266,703,3,1,42,6,63227,1,0,1,137316.32,0,16-07-2017
292,15607098,747,2,2,41,4,94521.17,2,1,0,194926.86,0,14-06-2019
293,15655774,583,1,1,27,5,0,2,1,0,51285.49,0,11-11-2017
294,15590241,750,2,2,34,3,112822.26,1,0,0,150401.53,1,12-12-2019
295,15785819,681,1,1,38,5,0,2,1,1,112491.96,0,18-09-2018
296,15723654,773,1,1,25,5,135903.33,1,1,0,73656.38,0,15-06-2018
297,15774510,714,1,2,31,4,125169.26,1,1,1,106636.89,0,20-03-2019
298,15684173,687,2,2,44,7,0,3,1,0,155853.52,1,18-01-2016
299,15650068,511,1,1,58,7,149117.31,1,1,1,162599.51,0,12-09-2016
300,15811490,627,1,1,33,5,0,2,1,1,103737.82,0,10-12-2017
301,15803976,694,1,2,31,6,0,2,1,0,160990.27,0,27-12-2016
302,15682541,616,2,2,36,5,132311.71,1,0,0,15462.84,0,28-04-2018
303,15695699,687,1,1,35,5,0,2,1,0,10334.05,0,24-11-2017
304,15624188,712,1,2,33,7,0,2,1,1,190686.16,0,25-06-2016
305,15812191,553,1,1,33,4,118082.89,1,0,0,94440.45,0,08-09-2019
306,15636673,667,1,1,31,4,119266.69,1,1,1,28257.63,0,21-11-2018
307,15594898,731,1,1,43,4,0,1,1,1,170034.95,1,28-02-2019
308,15660211,629,3,1,35,5,156847.29,2,1,0,31824.29,0,05-04-2018
309,15773972,614,1,1,50,7,137104.47,1,1,0,127166.49,1,13-09-2016
310,15746726,438,3,1,31,3,78398.69,1,1,0,44937.01,0,26-09-2019
311,15712287,652,1,2,80,6,0,2,1,1,188603.07,0,15-10-2016
312,15702919,729,3,1,30,5,63669.42,1,1,0,145111.37,0,31-05-2018
313,15674398,642,1,1,38,5,0,2,0,0,171463.83,0,31-10-2017
314,15797960,806,3,2,59,4,135296.33,1,1,0,182822.5,0,03-07-2019
315,15631868,744,2,1,36,5,153804.44,1,1,1,87213.33,0,10-04-2018
316,15581539,474,2,1,37,5,0,2,0,0,57175.32,0,14-06-2018
317,15662736,559,1,1,49,4,147069.78,1,1,0,120540.83,1,21-09-2019
318,15666252,706,2,1,42,5,0,2,1,1,28714.34,0,25-03-2018
319,15677512,628,2,2,22,4,0,1,1,0,85426.28,0,29-06-2019
320,15626114,429,1,1,24,4,95741.75,1,1,0,46170.75,0,18-07-2019
321,15810834,525,2,2,57,4,145965.33,1,1,1,64448.36,0,06-09-2019
322,15678910,680,1,2,30,7,141441.75,1,1,1,16278.97,0,24-03-2016
323,15694408,749,1,1,40,5,139290.41,1,1,0,182855.42,1,06-07-2018
324,15585215,763,1,2,31,5,0,2,0,0,50404.72,0,29-04-2018
325,15682757,734,1,1,30,5,0,2,1,0,107640.25,0,06-02-2018
326,15736601,716,1,1,35,6,144428.87,1,1,0,134132.65,0,13-02-2017
327,15601848,594,1,1,35,5,0,2,1,0,103480.69,0,30-05-2018
328,15736008,644,1,2,46,6,95441.27,1,1,0,108761.05,1,03-05-2017
329,15669064,671,3,1,35,5,144848.74,1,1,1,179012.3,0,02-07-2018
330,15624528,664,3,1,26,5,116244.14,2,1,1,95145.14,0,24-12-2017
331,15598493,656,1,1,50,4,0,2,0,1,72143.44,0,01-12-2018
332,15601274,667,2,2,40,6,146502.07,1,1,0,19162.89,0,08-12-2016
333,15702669,663,3,1,44,3,117028.6,2,0,1,144680.18,0,22-11-2019
334,15728669,584,3,2,30,5,112013.81,1,1,0,177772.03,1,23-09-2017
335,15742668,626,2,2,37,7,108269.37,1,1,0,5597.94,0,15-02-2016
336,15697441,485,1,1,29,5,182123.79,1,1,0,116828.51,1,25-11-2017
337,15740476,659,3,2,32,6,150923.74,2,0,1,174652.51,0,20-03-2017
338,15648064,649,1,1,33,3,0,2,1,0,2010.98,0,22-11-2019
339,15636624,805,2,2,39,4,165272.13,1,1,0,14109.85,1,21-02-2019
340,15807923,716,3,2,39,3,115301.31,1,1,0,43527.4,1,02-12-2019
341,15745844,642,3,2,40,7,129502.49,2,0,1,86099.23,1,02-07-2016
342,15786170,659,1,1,31,6,118342.26,1,0,0,161574.19,0,04-03-2017
343,15681081,545,2,2,47,4,0,2,1,1,38970.14,0,27-11-2018
344,15684484,543,1,1,22,6,0,2,0,0,127587.22,0,30-11-2016
345,15785869,718,1,2,25,6,0,2,1,0,30380.12,0,27-06-2017
346,15763859,840,1,2,43,6,0,2,1,0,90908.95,0,12-08-2017
347,15658935,630,3,2,34,7,106937.05,2,1,0,138275.01,0,12-04-2016
